  53565 eunji     20   0   52.0g  13.3g   1.9g S 100.0  42.7   0:39.35 python
%Cpu: 14.5 us,  1.7 sy,  0.0 ni, 83.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   52.0g  13.4g   1.9g S  83.3  42.9   0:39.40 python
%Cpu: 10.3 us,  1.2 sy,  0.0 ni, 88.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   52.0g  14.4g   2.0g S 101.0  46.3   0:40.42 python
%Cpu:  8.1 us,  1.5 sy,  0.0 ni, 90.1 id,  0.2 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   50.7g  14.0g 809992 R 101.0  44.7   0:41.43 python
%Cpu:  4.9 us,  0.7 sy,  0.0 ni, 94.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   50.7g  13.9g 809992 S  27.7  44.7   0:41.71 python
%Cpu:  3.4 us,  6.6 sy,  0.0 ni, 90.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   50.7g   4.5g 809992 S 119.8  14.5   0:42.92 python
%Cpu:  4.7 us,  1.1 sy,  0.0 ni, 94.0 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   52.0g   4.6g 909392 S  79.2  14.6   0:43.72 python
%Cpu:  4.3 us,  1.2 sy,  0.0 ni, 94.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   52.0g   5.7g   1.0g S 101.0  18.1   0:44.74 python
%Cpu:  4.7 us,  1.1 sy,  0.0 ni, 94.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   54.5g   6.8g   1.1g S 100.0  21.7   0:45.75 python
%Cpu:  5.0 us,  1.4 sy,  0.0 ni, 93.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
  53565 eunji     20   0   54.5g   7.9g   1.2g S 101.0  25.2   0:46.76 python
