timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 20:39:02.527, NVIDIA GeForce RTX 3080, 98 %, 86 %, 2982 MiB, 10240 MiB, 57, 309.90 W
2025/12/18 20:39:03.527, NVIDIA GeForce RTX 3080, 99 %, 86 %, 2982 MiB, 10240 MiB, 57, 311.88 W
2025/12/18 20:39:04.528, NVIDIA GeForce RTX 3080, 100 %, 83 %, 3003 MiB, 10240 MiB, 57, 310.45 W
2025/12/18 20:39:05.528, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3004 MiB, 10240 MiB, 58, 311.02 W
2025/12/18 20:39:06.528, NVIDIA GeForce RTX 3080, 99 %, 86 %, 3018 MiB, 10240 MiB, 58, 310.75 W
2025/12/18 20:39:07.528, NVIDIA GeForce RTX 3080, 98 %, 86 %, 3031 MiB, 10240 MiB, 58, 310.26 W
2025/12/18 20:39:08.528, NVIDIA GeForce RTX 3080, 99 %, 86 %, 3031 MiB, 10240 MiB, 59, 310.90 W
2025/12/18 20:39:09.528, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3021 MiB, 10240 MiB, 59, 312.07 W
2025/12/18 20:39:10.528, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3021 MiB, 10240 MiB, 59, 312.47 W
2025/12/18 20:39:11.529, NVIDIA GeForce RTX 3080, 98 %, 82 %, 3027 MiB, 10240 MiB, 59, 309.22 W
2025/12/18 20:39:12.529, NVIDIA GeForce RTX 3080, 98 %, 85 %, 3020 MiB, 10240 MiB, 60, 310.31 W
2025/12/18 20:39:13.529, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3015 MiB, 10240 MiB, 60, 311.87 W
2025/12/18 20:39:14.529, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3015 MiB, 10240 MiB, 60, 311.14 W
2025/12/18 20:39:15.529, NVIDIA GeForce RTX 3080, 98 %, 85 %, 3014 MiB, 10240 MiB, 61, 311.91 W
2025/12/18 20:39:16.529, NVIDIA GeForce RTX 3080, 99 %, 86 %, 3008 MiB, 10240 MiB, 61, 311.23 W
2025/12/18 20:39:17.530, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3009 MiB, 10240 MiB, 61, 311.61 W
2025/12/18 20:39:18.530, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3008 MiB, 10240 MiB, 61, 312.12 W
2025/12/18 20:39:19.530, NVIDIA GeForce RTX 3080, 99 %, 86 %, 3008 MiB, 10240 MiB, 61, 312.56 W
2025/12/18 20:39:20.530, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3008 MiB, 10240 MiB, 62, 312.12 W
2025/12/18 20:39:21.530, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3008 MiB, 10240 MiB, 62, 312.07 W
2025/12/18 20:39:22.530, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3006 MiB, 10240 MiB, 62, 311.65 W
2025/12/18 20:39:23.531, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3005 MiB, 10240 MiB, 63, 309.81 W
2025/12/18 20:39:24.531, NVIDIA GeForce RTX 3080, 99 %, 86 %, 3013 MiB, 10240 MiB, 63, 310.76 W
2025/12/18 20:39:25.531, NVIDIA GeForce RTX 3080, 99 %, 84 %, 3013 MiB, 10240 MiB, 63, 311.47 W
2025/12/18 20:39:26.531, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3012 MiB, 10240 MiB, 63, 311.23 W
2025/12/18 20:39:27.531, NVIDIA GeForce RTX 3080, 99 %, 86 %, 3009 MiB, 10240 MiB, 63, 310.70 W
2025/12/18 20:39:28.531, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3009 MiB, 10240 MiB, 64, 311.60 W
2025/12/18 20:39:29.532, NVIDIA GeForce RTX 3080, 99 %, 84 %, 2998 MiB, 10240 MiB, 64, 310.74 W
2025/12/18 20:39:30.532, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3002 MiB, 10240 MiB, 64, 310.60 W
2025/12/18 20:39:31.532, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3003 MiB, 10240 MiB, 64, 311.29 W
2025/12/18 20:39:32.532, NVIDIA GeForce RTX 3080, 98 %, 83 %, 3003 MiB, 10240 MiB, 65, 311.99 W
2025/12/18 20:39:33.532, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3003 MiB, 10240 MiB, 65, 311.43 W
2025/12/18 20:39:34.532, NVIDIA GeForce RTX 3080, 98 %, 83 %, 3017 MiB, 10240 MiB, 65, 311.51 W
2025/12/18 20:39:35.532, NVIDIA GeForce RTX 3080, 98 %, 83 %, 3017 MiB, 10240 MiB, 65, 310.50 W
2025/12/18 20:39:36.532, NVIDIA GeForce RTX 3080, 98 %, 83 %, 3009 MiB, 10240 MiB, 65, 310.98 W
2025/12/18 20:39:37.533, NVIDIA GeForce RTX 3080, 98 %, 82 %, 3026 MiB, 10240 MiB, 65, 310.94 W
2025/12/18 20:39:38.533, NVIDIA GeForce RTX 3080, 99 %, 83 %, 3026 MiB, 10240 MiB, 66, 310.21 W
2025/12/18 20:39:39.533, NVIDIA GeForce RTX 3080, 98 %, 83 %, 3023 MiB, 10240 MiB, 66, 311.24 W
2025/12/18 20:39:40.533, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3021 MiB, 10240 MiB, 66, 311.67 W
2025/12/18 20:39:41.533, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3021 MiB, 10240 MiB, 66, 310.99 W
2025/12/18 20:39:42.533, NVIDIA GeForce RTX 3080, 98 %, 83 %, 3017 MiB, 10240 MiB, 66, 311.51 W
2025/12/18 20:39:43.534, NVIDIA GeForce RTX 3080, 99 %, 84 %, 3015 MiB, 10240 MiB, 66, 312.33 W
2025/12/18 20:39:44.534, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3014 MiB, 10240 MiB, 66, 312.02 W
2025/12/18 20:39:45.534, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3013 MiB, 10240 MiB, 67, 312.03 W
2025/12/18 20:39:46.534, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3004 MiB, 10240 MiB, 67, 311.28 W
2025/12/18 20:39:47.534, NVIDIA GeForce RTX 3080, 98 %, 84 %, 2986 MiB, 10240 MiB, 67, 311.72 W
2025/12/18 20:39:48.534, NVIDIA GeForce RTX 3080, 98 %, 82 %, 2993 MiB, 10240 MiB, 67, 311.63 W
2025/12/18 20:39:49.535, NVIDIA GeForce RTX 3080, 98 %, 84 %, 2996 MiB, 10240 MiB, 67, 311.23 W
2025/12/18 20:39:50.535, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2995 MiB, 10240 MiB, 67, 309.45 W
2025/12/18 20:39:51.535, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2996 MiB, 10240 MiB, 67, 310.27 W
2025/12/18 20:39:52.535, NVIDIA GeForce RTX 3080, 99 %, 86 %, 3031 MiB, 10240 MiB, 67, 310.85 W
2025/12/18 20:39:53.535, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3026 MiB, 10240 MiB, 67, 312.15 W
2025/12/18 20:39:54.535, NVIDIA GeForce RTX 3080, 99 %, 84 %, 3177 MiB, 10240 MiB, 68, 311.11 W
