timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 22:56:13.679, NVIDIA GeForce RTX 3080, 100 %, 81 %, 5104 MiB, 10240 MiB, 70, 304.38 W
2025/12/18 22:56:14.679, NVIDIA GeForce RTX 3080, 100 %, 72 %, 5104 MiB, 10240 MiB, 70, 306.88 W
2025/12/18 22:56:15.679, NVIDIA GeForce RTX 3080, 100 %, 81 %, 5104 MiB, 10240 MiB, 70, 306.98 W
2025/12/18 22:56:16.679, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5105 MiB, 10240 MiB, 70, 306.48 W
2025/12/18 22:56:17.679, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5107 MiB, 10240 MiB, 70, 305.57 W
2025/12/18 22:56:18.680, NVIDIA GeForce RTX 3080, 100 %, 69 %, 5105 MiB, 10240 MiB, 70, 303.75 W
2025/12/18 22:56:19.680, NVIDIA GeForce RTX 3080, 100 %, 75 %, 5105 MiB, 10240 MiB, 70, 305.74 W
2025/12/18 22:56:20.680, NVIDIA GeForce RTX 3080, 100 %, 82 %, 5105 MiB, 10240 MiB, 71, 306.22 W
2025/12/18 22:56:21.685, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5109 MiB, 10240 MiB, 71, 305.43 W
2025/12/18 22:56:22.685, NVIDIA GeForce RTX 3080, 100 %, 81 %, 5113 MiB, 10240 MiB, 70, 307.24 W
2025/12/18 22:56:23.686, NVIDIA GeForce RTX 3080, 100 %, 67 %, 5109 MiB, 10240 MiB, 70, 303.82 W
2025/12/18 22:56:24.686, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5109 MiB, 10240 MiB, 71, 302.33 W
2025/12/18 22:56:25.686, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5109 MiB, 10240 MiB, 71, 307.50 W
2025/12/18 22:56:26.686, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5109 MiB, 10240 MiB, 71, 307.56 W
2025/12/18 22:56:27.686, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5109 MiB, 10240 MiB, 71, 308.53 W
2025/12/18 22:56:28.686, NVIDIA GeForce RTX 3080, 100 %, 81 %, 5109 MiB, 10240 MiB, 71, 306.14 W
2025/12/18 22:56:29.686, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5109 MiB, 10240 MiB, 71, 307.03 W
2025/12/18 22:56:30.687, NVIDIA GeForce RTX 3080, 100 %, 82 %, 5111 MiB, 10240 MiB, 71, 307.32 W
2025/12/18 22:56:31.687, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5111 MiB, 10240 MiB, 71, 305.06 W
