timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 20:18:37.324, NVIDIA GeForce RTX 3080, 98 %, 82 %, 3018 MiB, 10240 MiB, 64, 311.38 W
2025/12/18 20:18:38.324, NVIDIA GeForce RTX 3080, 98 %, 85 %, 3007 MiB, 10240 MiB, 64, 310.59 W
2025/12/18 20:18:39.325, NVIDIA GeForce RTX 3080, 98 %, 82 %, 3007 MiB, 10240 MiB, 64, 310.00 W
2025/12/18 20:18:40.325, NVIDIA GeForce RTX 3080, 97 %, 81 %, 3024 MiB, 10240 MiB, 65, 310.62 W
2025/12/18 20:18:41.325, NVIDIA GeForce RTX 3080, 99 %, 84 %, 3023 MiB, 10240 MiB, 65, 310.79 W
2025/12/18 20:18:42.325, NVIDIA GeForce RTX 3080, 99 %, 80 %, 3023 MiB, 10240 MiB, 65, 311.08 W
2025/12/18 20:18:43.325, NVIDIA GeForce RTX 3080, 98 %, 81 %, 3020 MiB, 10240 MiB, 65, 311.43 W
2025/12/18 20:18:44.325, NVIDIA GeForce RTX 3080, 98 %, 84 %, 3020 MiB, 10240 MiB, 66, 312.18 W
2025/12/18 20:18:45.325, NVIDIA GeForce RTX 3080, 98 %, 89 %, 3007 MiB, 10240 MiB, 66, 312.25 W
2025/12/18 20:18:46.326, NVIDIA GeForce RTX 3080, 99 %, 90 %, 3006 MiB, 10240 MiB, 66, 312.40 W
2025/12/18 20:18:47.326, NVIDIA GeForce RTX 3080, 98 %, 89 %, 3002 MiB, 10240 MiB, 66, 312.60 W
2025/12/18 20:18:48.326, NVIDIA GeForce RTX 3080, 99 %, 90 %, 3002 MiB, 10240 MiB, 66, 312.59 W
2025/12/18 20:18:49.326, NVIDIA GeForce RTX 3080, 99 %, 85 %, 2998 MiB, 10240 MiB, 66, 311.71 W
2025/12/18 20:18:50.326, NVIDIA GeForce RTX 3080, 98 %, 82 %, 2997 MiB, 10240 MiB, 67, 310.50 W
2025/12/18 20:18:51.326, NVIDIA GeForce RTX 3080, 99 %, 84 %, 2997 MiB, 10240 MiB, 67, 312.68 W
2025/12/18 20:18:52.326, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2997 MiB, 10240 MiB, 67, 313.47 W
2025/12/18 20:18:53.327, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2997 MiB, 10240 MiB, 67, 311.46 W
2025/12/18 20:18:54.327, NVIDIA GeForce RTX 3080, 99 %, 84 %, 2997 MiB, 10240 MiB, 67, 312.07 W
2025/12/18 20:18:55.327, NVIDIA GeForce RTX 3080, 99 %, 85 %, 2997 MiB, 10240 MiB, 67, 313.69 W
2025/12/18 20:18:56.327, NVIDIA GeForce RTX 3080, 99 %, 84 %, 2997 MiB, 10240 MiB, 67, 312.76 W
2025/12/18 20:18:57.327, NVIDIA GeForce RTX 3080, 99 %, 85 %, 2997 MiB, 10240 MiB, 67, 311.86 W
2025/12/18 20:18:58.327, NVIDIA GeForce RTX 3080, 98 %, 84 %, 2997 MiB, 10240 MiB, 68, 312.46 W
2025/12/18 20:18:59.328, NVIDIA GeForce RTX 3080, 99 %, 87 %, 2997 MiB, 10240 MiB, 68, 311.05 W
2025/12/18 20:19:00.328, NVIDIA GeForce RTX 3080, 98 %, 87 %, 2997 MiB, 10240 MiB, 68, 312.14 W
2025/12/18 20:19:01.328, NVIDIA GeForce RTX 3080, 99 %, 89 %, 2987 MiB, 10240 MiB, 68, 312.15 W
2025/12/18 20:19:02.328, NVIDIA GeForce RTX 3080, 98 %, 89 %, 2987 MiB, 10240 MiB, 68, 313.09 W
2025/12/18 20:19:03.328, NVIDIA GeForce RTX 3080, 99 %, 85 %, 2987 MiB, 10240 MiB, 68, 311.44 W
2025/12/18 20:19:04.328, NVIDIA GeForce RTX 3080, 99 %, 84 %, 2987 MiB, 10240 MiB, 69, 314.71 W
2025/12/18 20:19:05.329, NVIDIA GeForce RTX 3080, 99 %, 85 %, 2987 MiB, 10240 MiB, 69, 311.97 W
2025/12/18 20:19:06.329, NVIDIA GeForce RTX 3080, 99 %, 85 %, 2987 MiB, 10240 MiB, 68, 312.28 W
2025/12/18 20:19:07.329, NVIDIA GeForce RTX 3080, 99 %, 83 %, 2987 MiB, 10240 MiB, 69, 312.12 W
