timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2025/12/18 21:51:51.204, NVIDIA GeForce RTX 3080, 71 %, 51 %, 9810 MiB, 10240 MiB
2025/12/18 21:51:52.205, NVIDIA GeForce RTX 3080, 60 %, 20 %, 9810 MiB, 10240 MiB
2025/12/18 21:51:53.205, NVIDIA GeForce RTX 3080, 62 %, 27 %, 9810 MiB, 10240 MiB
2025/12/18 21:51:54.206, NVIDIA GeForce RTX 3080, 66 %, 41 %, 9810 MiB, 10240 MiB
2025/12/18 21:51:55.206, NVIDIA GeForce RTX 3080, 46 %, 14 %, 9810 MiB, 10240 MiB
2025/12/18 21:51:56.206, NVIDIA GeForce RTX 3080, 69 %, 37 %, 9810 MiB, 10240 MiB
2025/12/18 21:51:57.206, NVIDIA GeForce RTX 3080, 55 %, 25 %, 9807 MiB, 10240 MiB
2025/12/18 21:51:58.206, NVIDIA GeForce RTX 3080, 65 %, 34 %, 9807 MiB, 10240 MiB
2025/12/18 21:51:59.206, NVIDIA GeForce RTX 3080, 57 %, 29 %, 9825 MiB, 10240 MiB
2025/12/18 21:52:00.207, NVIDIA GeForce RTX 3080, 54 %, 19 %, 9825 MiB, 10240 MiB
2025/12/18 21:52:01.207, NVIDIA GeForce RTX 3080, 49 %, 17 %, 9827 MiB, 10240 MiB
2025/12/18 21:52:02.209, NVIDIA GeForce RTX 3080, 79 %, 58 %, 9823 MiB, 10240 MiB
2025/12/18 21:52:03.210, NVIDIA GeForce RTX 3080, 64 %, 32 %, 9823 MiB, 10240 MiB
2025/12/18 21:52:04.210, NVIDIA GeForce RTX 3080, 64 %, 33 %, 9823 MiB, 10240 MiB
2025/12/18 21:52:05.210, NVIDIA GeForce RTX 3080, 74 %, 46 %, 9812 MiB, 10240 MiB
2025/12/18 21:52:06.210, NVIDIA GeForce RTX 3080, 57 %, 19 %, 9812 MiB, 10240 MiB
2025/12/18 21:52:07.211, NVIDIA GeForce RTX 3080, 70 %, 41 %, 9812 MiB, 10240 MiB
2025/12/18 21:52:08.212, NVIDIA GeForce RTX 3080, 35 %, 11 %, 9812 MiB, 10240 MiB
2025/12/18 21:52:09.212, NVIDIA GeForce RTX 3080, 36 %, 16 %, 9813 MiB, 10240 MiB
2025/12/18 21:52:10.212, NVIDIA GeForce RTX 3080, 42 %, 14 %, 9812 MiB, 10240 MiB
2025/12/18 21:52:11.213, NVIDIA GeForce RTX 3080, 62 %, 35 %, 9812 MiB, 10240 MiB
2025/12/18 21:52:12.214, NVIDIA GeForce RTX 3080, 46 %, 27 %, 9812 MiB, 10240 MiB
2025/12/18 21:52:13.214, NVIDIA GeForce RTX 3080, 59 %, 29 %, 9812 MiB, 10240 MiB
2025/12/18 21:52:14.215, NVIDIA GeForce RTX 3080, 46 %, 26 %, 9812 MiB, 10240 MiB
2025/12/18 21:52:15.216, NVIDIA GeForce RTX 3080, 61 %, 31 %, 9812 MiB, 10240 MiB
2025/12/18 21:52:16.216, NVIDIA GeForce RTX 3080, 61 %, 39 %, 9812 MiB, 10240 MiB
2025/12/18 21:52:17.217, NVIDIA GeForce RTX 3080, 63 %, 33 %, 9813 MiB, 10240 MiB
2025/12/18 21:52:18.218, NVIDIA GeForce RTX 3080, 63 %, 42 %, 9813 MiB, 10240 MiB
2025/12/18 21:52:19.218, NVIDIA GeForce RTX 3080, 32 %, 11 %, 9813 MiB, 10240 MiB
2025/12/18 21:52:20.218, NVIDIA GeForce RTX 3080, 58 %, 31 %, 9813 MiB, 10240 MiB
2025/12/18 21:52:21.218, NVIDIA GeForce RTX 3080, 52 %, 19 %, 9813 MiB, 10240 MiB
2025/12/18 21:52:22.219, NVIDIA GeForce RTX 3080, 42 %, 20 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:23.219, NVIDIA GeForce RTX 3080, 41 %, 12 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:24.219, NVIDIA GeForce RTX 3080, 59 %, 33 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:25.221, NVIDIA GeForce RTX 3080, 49 %, 15 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:26.223, NVIDIA GeForce RTX 3080, 58 %, 29 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:27.228, NVIDIA GeForce RTX 3080, 73 %, 56 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:28.228, NVIDIA GeForce RTX 3080, 63 %, 35 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:29.228, NVIDIA GeForce RTX 3080, 71 %, 52 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:30.229, NVIDIA GeForce RTX 3080, 50 %, 18 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:31.229, NVIDIA GeForce RTX 3080, 60 %, 33 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:32.231, NVIDIA GeForce RTX 3080, 62 %, 41 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:33.231, NVIDIA GeForce RTX 3080, 52 %, 27 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:34.231, NVIDIA GeForce RTX 3080, 67 %, 51 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:35.231, NVIDIA GeForce RTX 3080, 51 %, 27 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:36.233, NVIDIA GeForce RTX 3080, 71 %, 54 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:37.233, NVIDIA GeForce RTX 3080, 59 %, 33 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:38.234, NVIDIA GeForce RTX 3080, 29 %, 9 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:39.235, NVIDIA GeForce RTX 3080, 41 %, 20 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:40.236, NVIDIA GeForce RTX 3080, 50 %, 26 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:41.237, NVIDIA GeForce RTX 3080, 46 %, 27 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:42.237, NVIDIA GeForce RTX 3080, 61 %, 32 %, 9809 MiB, 10240 MiB
2025/12/18 21:52:43.237, NVIDIA GeForce RTX 3080, 36 %, 11 %, 9817 MiB, 10240 MiB
2025/12/18 21:52:44.237, NVIDIA GeForce RTX 3080, 70 %, 44 %, 9818 MiB, 10240 MiB
2025/12/18 21:52:45.237, NVIDIA GeForce RTX 3080, 75 %, 59 %, 9818 MiB, 10240 MiB
2025/12/18 21:52:46.238, NVIDIA GeForce RTX 3080, 53 %, 20 %, 9818 MiB, 10240 MiB
2025/12/18 21:52:47.239, NVIDIA GeForce RTX 3080, 64 %, 35 %, 9818 MiB, 10240 MiB
2025/12/18 21:52:48.239, NVIDIA GeForce RTX 3080, 66 %, 40 %, 9823 MiB, 10240 MiB
2025/12/18 21:52:49.240, NVIDIA GeForce RTX 3080, 59 %, 29 %, 9823 MiB, 10240 MiB
2025/12/18 21:52:50.241, NVIDIA GeForce RTX 3080, 77 %, 58 %, 9824 MiB, 10240 MiB
2025/12/18 21:52:51.242, NVIDIA GeForce RTX 3080, 65 %, 31 %, 9825 MiB, 10240 MiB
2025/12/18 21:52:52.242, NVIDIA GeForce RTX 3080, 68 %, 43 %, 9824 MiB, 10240 MiB
2025/12/18 21:52:53.242, NVIDIA GeForce RTX 3080, 57 %, 26 %, 9824 MiB, 10240 MiB
2025/12/18 21:52:54.244, NVIDIA GeForce RTX 3080, 47 %, 16 %, 9824 MiB, 10240 MiB
2025/12/18 21:52:55.244, NVIDIA GeForce RTX 3080, 78 %, 60 %, 9824 MiB, 10240 MiB
2025/12/18 21:52:56.244, NVIDIA GeForce RTX 3080, 64 %, 30 %, 4055 MiB, 10240 MiB
2025/12/18 21:52:57.244, NVIDIA GeForce RTX 3080, 67 %, 41 %, 9798 MiB, 10240 MiB
2025/12/18 21:52:58.245, NVIDIA GeForce RTX 3080, 53 %, 18 %, 9820 MiB, 10240 MiB
2025/12/18 21:52:59.245, NVIDIA GeForce RTX 3080, 71 %, 34 %, 9809 MiB, 10240 MiB
2025/12/18 21:53:00.246, NVIDIA GeForce RTX 3080, 72 %, 44 %, 9801 MiB, 10240 MiB
2025/12/18 21:53:01.247, NVIDIA GeForce RTX 3080, 69 %, 34 %, 9809 MiB, 10240 MiB
2025/12/18 21:53:02.248, NVIDIA GeForce RTX 3080, 63 %, 29 %, 9811 MiB, 10240 MiB
2025/12/18 21:53:03.250, NVIDIA GeForce RTX 3080, 62 %, 27 %, 9801 MiB, 10240 MiB
2025/12/18 21:53:04.251, NVIDIA GeForce RTX 3080, 67 %, 35 %, 9811 MiB, 10240 MiB
2025/12/18 21:53:05.251, NVIDIA GeForce RTX 3080, 55 %, 24 %, 9811 MiB, 10240 MiB
2025/12/18 21:53:06.252, NVIDIA GeForce RTX 3080, 55 %, 19 %, 9819 MiB, 10240 MiB
2025/12/18 21:53:07.252, NVIDIA GeForce RTX 3080, 70 %, 35 %, 9811 MiB, 10240 MiB
2025/12/18 21:53:08.252, NVIDIA GeForce RTX 3080, 75 %, 59 %, 9801 MiB, 10240 MiB
2025/12/18 21:53:09.253, NVIDIA GeForce RTX 3080, 64 %, 28 %, 9819 MiB, 10240 MiB
2025/12/18 21:53:10.253, NVIDIA GeForce RTX 3080, 66 %, 33 %, 9811 MiB, 10240 MiB
2025/12/18 21:53:11.253, NVIDIA GeForce RTX 3080, 55 %, 22 %, 9801 MiB, 10240 MiB
2025/12/18 21:53:12.253, NVIDIA GeForce RTX 3080, 65 %, 34 %, 9811 MiB, 10240 MiB
2025/12/18 21:53:13.254, NVIDIA GeForce RTX 3080, 67 %, 39 %, 9780 MiB, 10240 MiB
2025/12/18 21:53:14.254, NVIDIA GeForce RTX 3080, 65 %, 30 %, 9812 MiB, 10240 MiB
2025/12/18 21:53:15.254, NVIDIA GeForce RTX 3080, 75 %, 54 %, 9803 MiB, 10240 MiB
2025/12/18 21:53:16.255, NVIDIA GeForce RTX 3080, 69 %, 34 %, 9812 MiB, 10240 MiB
2025/12/18 21:53:17.255, NVIDIA GeForce RTX 3080, 44 %, 17 %, 9802 MiB, 10240 MiB
2025/12/18 21:53:18.256, NVIDIA GeForce RTX 3080, 69 %, 36 %, 9812 MiB, 10240 MiB
2025/12/18 21:53:19.256, NVIDIA GeForce RTX 3080, 74 %, 55 %, 9802 MiB, 10240 MiB
2025/12/18 21:53:20.256, NVIDIA GeForce RTX 3080, 54 %, 22 %, 9813 MiB, 10240 MiB
2025/12/18 21:53:21.256, NVIDIA GeForce RTX 3080, 64 %, 40 %, 9802 MiB, 10240 MiB
2025/12/18 21:53:22.256, NVIDIA GeForce RTX 3080, 49 %, 20 %, 9812 MiB, 10240 MiB
2025/12/18 21:53:23.257, NVIDIA GeForce RTX 3080, 80 %, 60 %, 9802 MiB, 10240 MiB
2025/12/18 21:53:24.257, NVIDIA GeForce RTX 3080, 61 %, 29 %, 9812 MiB, 10240 MiB
2025/12/18 21:53:25.258, NVIDIA GeForce RTX 3080, 67 %, 36 %, 9813 MiB, 10240 MiB
2025/12/18 21:53:26.258, NVIDIA GeForce RTX 3080, 59 %, 20 %, 9820 MiB, 10240 MiB
2025/12/18 21:53:27.259, NVIDIA GeForce RTX 3080, 74 %, 36 %, 9812 MiB, 10240 MiB
2025/12/18 21:53:28.260, NVIDIA GeForce RTX 3080, 46 %, 15 %, 9802 MiB, 10240 MiB
2025/12/18 21:53:29.260, NVIDIA GeForce RTX 3080, 62 %, 28 %, 9812 MiB, 10240 MiB
2025/12/18 21:53:30.260, NVIDIA GeForce RTX 3080, 73 %, 50 %, 9803 MiB, 10240 MiB
2025/12/18 21:53:31.260, NVIDIA GeForce RTX 3080, 62 %, 27 %, 9821 MiB, 10240 MiB
2025/12/18 21:53:32.261, NVIDIA GeForce RTX 3080, 50 %, 21 %, 9812 MiB, 10240 MiB
2025/12/18 21:53:33.261, NVIDIA GeForce RTX 3080, 53 %, 19 %, 9821 MiB, 10240 MiB
2025/12/18 21:53:34.261, NVIDIA GeForce RTX 3080, 53 %, 22 %, 9813 MiB, 10240 MiB
2025/12/18 21:53:35.261, NVIDIA GeForce RTX 3080, 52 %, 15 %, 9813 MiB, 10240 MiB
2025/12/18 21:53:36.261, NVIDIA GeForce RTX 3080, 57 %, 28 %, 9819 MiB, 10240 MiB
2025/12/18 21:53:37.262, NVIDIA GeForce RTX 3080, 57 %, 28 %, 9813 MiB, 10240 MiB
2025/12/18 21:53:38.263, NVIDIA GeForce RTX 3080, 56 %, 36 %, 9803 MiB, 10240 MiB
2025/12/18 21:53:39.263, NVIDIA GeForce RTX 3080, 55 %, 25 %, 9813 MiB, 10240 MiB
2025/12/18 21:53:40.264, NVIDIA GeForce RTX 3080, 60 %, 36 %, 9813 MiB, 10240 MiB
2025/12/18 21:53:41.264, NVIDIA GeForce RTX 3080, 56 %, 20 %, 9795 MiB, 10240 MiB
2025/12/18 21:53:42.265, NVIDIA GeForce RTX 3080, 65 %, 35 %, 9813 MiB, 10240 MiB
2025/12/18 21:53:43.265, NVIDIA GeForce RTX 3080, 64 %, 41 %, 9803 MiB, 10240 MiB
2025/12/18 21:53:44.267, NVIDIA GeForce RTX 3080, 67 %, 33 %, 9789 MiB, 10240 MiB
2025/12/18 21:53:45.267, NVIDIA GeForce RTX 3080, 70 %, 35 %, 9813 MiB, 10240 MiB
2025/12/18 21:53:46.268, NVIDIA GeForce RTX 3080, 63 %, 33 %, 9803 MiB, 10240 MiB
2025/12/18 21:53:47.268, NVIDIA GeForce RTX 3080, 64 %, 33 %, 9821 MiB, 10240 MiB
2025/12/18 21:53:48.268, NVIDIA GeForce RTX 3080, 57 %, 25 %, 9813 MiB, 10240 MiB
2025/12/18 21:53:49.269, NVIDIA GeForce RTX 3080, 57 %, 20 %, 9803 MiB, 10240 MiB
2025/12/18 21:53:50.269, NVIDIA GeForce RTX 3080, 62 %, 28 %, 9812 MiB, 10240 MiB
2025/12/18 21:53:51.269, NVIDIA GeForce RTX 3080, 75 %, 55 %, 9812 MiB, 10240 MiB
2025/12/18 21:53:52.270, NVIDIA GeForce RTX 3080, 65 %, 29 %, 9820 MiB, 10240 MiB
2025/12/18 21:53:53.270, NVIDIA GeForce RTX 3080, 57 %, 27 %, 9812 MiB, 10240 MiB
2025/12/18 21:53:54.271, NVIDIA GeForce RTX 3080, 49 %, 15 %, 9803 MiB, 10240 MiB
2025/12/18 21:53:55.271, NVIDIA GeForce RTX 3080, 67 %, 30 %, 9812 MiB, 10240 MiB
2025/12/18 21:53:56.271, NVIDIA GeForce RTX 3080, 65 %, 34 %, 9802 MiB, 10240 MiB
2025/12/18 21:53:57.271, NVIDIA GeForce RTX 3080, 59 %, 25 %, 9812 MiB, 10240 MiB
2025/12/18 21:53:58.271, NVIDIA GeForce RTX 3080, 57 %, 28 %, 9802 MiB, 10240 MiB
2025/12/18 21:53:59.272, NVIDIA GeForce RTX 3080, 52 %, 21 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:00.272, NVIDIA GeForce RTX 3080, 77 %, 57 %, 9803 MiB, 10240 MiB
2025/12/18 21:54:01.273, NVIDIA GeForce RTX 3080, 59 %, 26 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:02.273, NVIDIA GeForce RTX 3080, 51 %, 21 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:03.274, NVIDIA GeForce RTX 3080, 60 %, 20 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:04.274, NVIDIA GeForce RTX 3080, 69 %, 34 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:05.275, NVIDIA GeForce RTX 3080, 61 %, 27 %, 9768 MiB, 10240 MiB
2025/12/18 21:54:06.275, NVIDIA GeForce RTX 3080, 68 %, 35 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:07.276, NVIDIA GeForce RTX 3080, 62 %, 38 %, 9802 MiB, 10240 MiB
2025/12/18 21:54:08.276, NVIDIA GeForce RTX 3080, 59 %, 22 %, 9810 MiB, 10240 MiB
2025/12/18 21:54:09.277, NVIDIA GeForce RTX 3080, 72 %, 36 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:10.278, NVIDIA GeForce RTX 3080, 59 %, 26 %, 9816 MiB, 10240 MiB
2025/12/18 21:54:11.278, NVIDIA GeForce RTX 3080, 70 %, 35 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:12.279, NVIDIA GeForce RTX 3080, 46 %, 14 %, 9821 MiB, 10240 MiB
2025/12/18 21:54:13.279, NVIDIA GeForce RTX 3080, 46 %, 19 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:14.279, NVIDIA GeForce RTX 3080, 63 %, 33 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:15.279, NVIDIA GeForce RTX 3080, 53 %, 22 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:16.282, NVIDIA GeForce RTX 3080, 37 %, 12 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:17.282, NVIDIA GeForce RTX 3080, 51 %, 26 %, 9802 MiB, 10240 MiB
2025/12/18 21:54:18.282, NVIDIA GeForce RTX 3080, 52 %, 19 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:19.284, NVIDIA GeForce RTX 3080, 70 %, 49 %, 9802 MiB, 10240 MiB
2025/12/18 21:54:20.284, NVIDIA GeForce RTX 3080, 63 %, 33 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:21.285, NVIDIA GeForce RTX 3080, 60 %, 34 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:22.285, NVIDIA GeForce RTX 3080, 56 %, 26 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:23.286, NVIDIA GeForce RTX 3080, 56 %, 25 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:24.286, NVIDIA GeForce RTX 3080, 40 %, 12 %, 9817 MiB, 10240 MiB
2025/12/18 21:54:25.286, NVIDIA GeForce RTX 3080, 57 %, 30 %, 9802 MiB, 10240 MiB
2025/12/18 21:54:26.286, NVIDIA GeForce RTX 3080, 55 %, 27 %, 9813 MiB, 10240 MiB
2025/12/18 21:54:27.287, NVIDIA GeForce RTX 3080, 40 %, 12 %, 9788 MiB, 10240 MiB
2025/12/18 21:54:28.287, NVIDIA GeForce RTX 3080, 71 %, 36 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:29.287, NVIDIA GeForce RTX 3080, 55 %, 21 %, 9810 MiB, 10240 MiB
2025/12/18 21:54:30.287, NVIDIA GeForce RTX 3080, 63 %, 32 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:31.289, NVIDIA GeForce RTX 3080, 50 %, 18 %, 9820 MiB, 10240 MiB
2025/12/18 21:54:32.289, NVIDIA GeForce RTX 3080, 71 %, 35 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:33.290, NVIDIA GeForce RTX 3080, 47 %, 15 %, 9814 MiB, 10240 MiB
2025/12/18 21:54:34.291, NVIDIA GeForce RTX 3080, 56 %, 25 %, 9812 MiB, 10240 MiB
2025/12/18 21:54:35.293, NVIDIA GeForce RTX 3080, 79 %, 60 %, 9803 MiB, 10240 MiB
2025/12/18 21:54:36.293, NVIDIA GeForce RTX 3080, 68 %, 34 %, 9813 MiB, 10240 MiB
