timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 16:30:57.267, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5410 MiB, 10240 MiB, 59, 318.51 W
2025/12/18 16:30:58.267, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5437 MiB, 10240 MiB, 60, 318.66 W
2025/12/18 16:30:59.267, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5437 MiB, 10240 MiB, 60, 318.89 W
2025/12/18 16:31:00.267, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5437 MiB, 10240 MiB, 60, 318.79 W
2025/12/18 16:31:01.267, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5437 MiB, 10240 MiB, 61, 318.59 W
2025/12/18 16:31:02.267, NVIDIA GeForce RTX 3080, 100 %, 95 %, 5448 MiB, 10240 MiB, 61, 317.25 W
2025/12/18 16:31:03.267, NVIDIA GeForce RTX 3080, 100 %, 98 %, 5433 MiB, 10240 MiB, 61, 317.87 W
2025/12/18 16:31:04.268, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5433 MiB, 10240 MiB, 62, 318.91 W
2025/12/18 16:31:05.268, NVIDIA GeForce RTX 3080, 100 %, 99 %, 5433 MiB, 10240 MiB, 62, 318.42 W
2025/12/18 16:31:06.268, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5433 MiB, 10240 MiB, 62, 317.72 W
2025/12/18 16:31:07.268, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5443 MiB, 10240 MiB, 63, 317.98 W
2025/12/18 16:31:08.268, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5431 MiB, 10240 MiB, 63, 318.24 W
2025/12/18 16:31:09.269, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5426 MiB, 10240 MiB, 64, 318.89 W
2025/12/18 16:31:10.269, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5426 MiB, 10240 MiB, 64, 318.88 W
2025/12/18 16:31:11.269, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5418 MiB, 10240 MiB, 64, 319.01 W
2025/12/18 16:31:12.269, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5418 MiB, 10240 MiB, 65, 319.08 W
2025/12/18 16:31:13.269, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5418 MiB, 10240 MiB, 65, 318.83 W
2025/12/18 16:31:14.269, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5418 MiB, 10240 MiB, 65, 319.00 W
2025/12/18 16:31:15.269, NVIDIA GeForce RTX 3080, 100 %, 100 %, 5418 MiB, 10240 MiB, 65, 318.94 W
